uid;modus;spieler1;spieler2;legsspieler1;legsspieler2;avgspieler1;avgspieler2;dartsspieler1;dartsspieler2;doppelversuchespieler1;doppelversuchespieler2;highscorespieler1;highscorespieler2;highcospieler1;highcospieler2
1;3;Wiesnhans60;Hase4;2;0;42,34;38,3;71;69;13;0;140;90;20;0
2;3;Herminator9247;Juju1337;2;0;37,58;30,38;80;78;13;0;140;80;32;0
3;3;Wiesnhans60;Juju1337;2;0;57,87;44;52;51;3;0;140;78;44;0
4;3;Herminator9247;Hase4;2;0;31,98;32,06;94;93;23;14;140;71;52;0
5;3;Wiesnhans60;Herminator9247;0;2;38,24;40;8;75;13;9;100;98;0;40
6;3;Hase4;Juju1337;2;1;33,45;30,56;133;134;22;5;125;81;37;8
