uid,modus,spieler1,spieler2,legsspieler1,legsspieler2,avgspieler1,avgspieler2,dartsspieler1,dartsspieler2,doppelversuchespieler1,doppelversuchespieler2,highscorespieler1,highscorespieler2,highcospieler1,highcospieler2
1,3,Wiesnhans60,Hase4,0,0,0,0,0,0,0,0,0,0,0,0
2,3,Herminator9247,Juju1337,0,0,0,0,0,0,0,0,0,0,0,0
3,3,Wiesnhans60,Juju1337,0,0,0,0,0,0,0,0,0,0,0,0
4,3,Herminator9247,Hase4,0,0,0,0,0,0,0,0,0,0,0,0
5,3,Wiesnhans60,Herminator9247,0,0,0,0,0,0,0,0,0,0,0,0
6,3,Hase4,Juju1337,0,0,0,0,0,0,0,0,0,0,0,0
